job_title,work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
Data Scientist,2022,MI,FT,120000,US,100,US,M
Machine Learning Engineer,2022,SE,FT,120000,AE,100,AE,S
Machine Learning Engineer,2022,SE,FT,65000,AE,100,AE,S
Data Engineer,2022,EX,FT,324000,US,100,US,M
Data Engineer,2022,EX,FT,216000,US,100,US,M
Data Engineer,2022,SE,FT,210000,US,100,US,M
Machine Learning Engineer,2022,SE,FT,120000,US,100,US,M
Data Scientist,2022,SE,FT,230000,US,100,US,M
Data Scientist,2022,EN,PT,100000,DZ,50,DZ,M
Data Scientist,2022,MI,FL,100000,CA,100,US,M
Applied Machine Learning Scientist,2022,EN,CT,31875,TN,100,CZ,M
Head of Data,2022,SE,FT,200000,MY,100,US,M
Principal Data Analyst,2022,MI,FT,75000,CA,100,CA,S
Data Scientist,2022,MI,FT,35590,PL,100,PL,L
Machine Learning Developer,2022,SE,FT,78791,CA,100,CA,M
Data Scientist,2022,SE,FT,100000,BR,100,US,M
Machine Learning Scientist,2022,MI,FT,153000,US,50,US,M
Data Engineer,2022,EN,FT,58035,PK,100,DE,M
Data Scientist,2022,SE,FT,165000,US,100,US,M
Research Scientist,2022,SE,FT,93427,FR,50,FR,L
Data Scientist,2022,EN,FT,52396,CA,100,CA,L
Machine Learning Engineer,2022,SE,FT,62651,NL,100,NL,L
Head of Data,2022,MI,FT,32974,EE,100,EE,S
Data Scientist,2022,EN,FT,40000,JP,100,MY,L
Machine Learning Engineer,2022,MI,FT,87425,AU,100,AU,L
Data Engineer,2022,SE,FT,115000,US,100,US,M
Data Scientist,2022,EN,FT,86703,AU,50,AU,M
Applied Machine Learning Scientist,2022,MI,FT,75000,BO,100,US,L
Research Scientist,2022,MI,FT,64849,AT,0,AT,L
Research Scientist,2022,EN,FT,120000,US,100,US,L
Applied Data Scientist,2022,MI,FT,157000,US,100,US,L
Computer Vision Software Engineer,2022,EN,FT,150000,AU,100,AU,S
Business Data Analyst,2022,MI,FT,70912,CA,50,CA,L
Data Engineer,2022,EN,FT,65000,US,100,US,S
Machine Learning Engineer,2022,SE,FT,71444,IE,100,IE,S
Data Analytics Engineer,2022,EN,FT,20000,PK,0,PK,M
Data Scientist,2022,MI,FT,48000,RU,100,US,S
Data Science Manager,2022,SE,FT,152500,US,100,US,M
Data Engineer,2022,MI,FT,68147,FR,100,FR,M
Data Scientist,2022,MI,FT,122346,CH,0,CH,L
Applied Data Scientist,2022,SE,FT,380000,US,100,US,L
Data Scientist,2022,MI,FT,69336,CA,100,CA,M
Computer Vision Engineer,2022,EN,FT,10000,PT,100,LU,M
Data Analyst,2022,MI,FT,20000,GR,100,GR,S
Data Analytics Lead,2022,SE,FT,405000,US,100,US,L
Data Scientist,2022,MI,FT,135000,US,100,US,L
Applied Data Scientist,2022,SE,FT,177000,US,100,US,L
Data Scientist,2022,MI,FT,78000,US,100,US,M
Data Analyst,2022,SE,FT,135000,US,100,US,M
Data Analyst,2022,SE,FT,100000,US,100,US,M
Data Analyst,2022,SE,FT,90320,US,100,US,M
Data Analyst,2022,MI,FT,85000,CA,0,CA,M
Data Analyst,2022,MI,FT,75000,CA,0,CA,M
Machine Learning Engineer,2022,SE,FT,214000,US,100,US,M
Machine Learning Engineer,2022,SE,FT,192600,US,100,US,M
Data Architect,2022,SE,FT,266400,US,100,US,M
Data Architect,2022,SE,FT,213120,US,100,US,M
Data Analyst,2022,SE,FT,112900,US,100,US,M
Data Engineer,2022,SE,FT,155000,US,100,US,M
Data Scientist,2022,MI,FT,141300,US,0,US,M
Data Scientist,2022,MI,FT,102100,US,0,US,M
Data Analyst,2022,SE,FT,115934,US,100,US,M
Data Analyst,2022,SE,FT,81666,US,100,US,M
Data Engineer,2022,MI,FT,206699,US,0,US,M
Data Engineer,2022,MI,FT,99100,US,0,US,M
Data Engineer,2022,SE,FT,130000,US,100,US,M
Data Engineer,2022,SE,FT,115000,US,100,US,M
Data Engineer,2022,SE,FT,110500,US,100,US,M
Data Engineer,2022,SE,FT,130000,US,100,US,M
Data Analyst,2022,SE,FT,99050,US,100,US,M
Data Engineer,2022,SE,FT,160000,US,100,US,M
Data Scientist,2022,SE,FT,205300,US,0,US,L
Data Scientist,2022,SE,FT,140400,US,0,US,L
Data Scientist,2022,SE,FT,176000,US,100,US,M
Data Scientist,2022,SE,FT,144000,US,100,US,M
Data Engineer,2022,SE,FT,200100,US,100,US,M
Data Engineer,2022,SE,FT,160000,US,100,US,M
Data Engineer,2022,SE,FT,145000,US,100,US,M
Data Engineer,2022,SE,FT,70500,US,0,US,M
Data Scientist,2022,SE,FT,205300,US,0,US,M
Data Scientist,2022,SE,FT,140400,US,0,US,M
Analytics Engineer,2022,SE,FT,205300,US,0,US,M
Analytics Engineer,2022,SE,FT,184700,US,0,US,M
Data Engineer,2022,SE,FT,175100,US,100,US,M
Data Engineer,2022,SE,FT,140250,US,100,US,M
Data Analyst,2022,SE,FT,116150,US,100,US,M
Data Engineer,2022,SE,FT,54000,US,0,US,M
Data Analyst,2022,SE,FT,170000,US,100,US,M
Data Analyst,2022,MI,FT,65438,GB,0,GB,M
Data Analyst,2022,SE,FT,80000,US,100,US,M
Data Scientist,2022,SE,FT,140000,US,100,US,M
Data Scientist,2022,SE,FT,210000,US,100,US,M
Data Scientist,2022,SE,FT,140000,US,100,US,M
Data Analyst,2022,SE,FT,100000,US,100,US,M
Data Analyst,2022,SE,FT,69000,US,100,US,M
Data Scientist,2022,SE,FT,210000,US,100,US,M
Data Scientist,2022,SE,FT,140000,US,100,US,M
Data Scientist,2022,SE,FT,210000,US,100,US,M
Data Analyst,2022,SE,FT,150075,US,100,US,M
Data Engineer,2022,SE,FT,100000,US,100,US,M
Data Engineer,2022,SE,FT,25000,US,100,US,M
Data Analyst,2022,SE,FT,126500,US,100,US,M
Data Analyst,2022,SE,FT,106260,US,100,US,M
Data Engineer,2022,SE,FT,220110,US,100,US,M
Data Engineer,2022,SE,FT,160080,US,100,US,M
Data Analyst,2022,SE,FT,105000,US,100,US,M
Data Analyst,2022,SE,FT,110925,US,100,US,M
Data Analyst,2022,MI,FT,45807,GB,0,GB,M
Data Scientist,2022,SE,FT,140000,US,100,US,M
Data Analyst,2022,SE,FT,99000,US,0,US,M
Data Analyst,2022,SE,FT,60000,US,100,US,M
Data Architect,2022,SE,FT,192564,US,100,US,M
Data Architect,2022,SE,FT,144854,US,100,US,M
Data Scientist,2022,SE,FT,230000,US,100,US,M
Data Scientist,2022,SE,FT,150000,US,100,US,M
Data Analytics Manager,2022,SE,FT,150260,US,100,US,M
Data Analytics Manager,2022,SE,FT,109280,US,100,US,M
Data Scientist,2022,SE,FT,210000,US,100,US,M
Data Analyst,2022,SE,FT,170000,US,100,US,M
Data Scientist,2022,MI,FT,160000,US,100,US,M
Data Scientist,2022,MI,FT,130000,US,100,US,M
Data Analyst,2022,EN,FT,67000,CA,0,CA,M
Data Analyst,2022,EN,FT,52000,CA,0,CA,M
Data Engineer,2022,SE,FT,154000,US,100,US,M
Data Engineer,2022,SE,FT,126000,US,100,US,M
Data Analyst,2022,SE,FT,129000,US,0,US,M
Data Analyst,2022,SE,FT,150000,US,100,US,M
AI Scientist,2022,MI,FT,200000,IN,100,US,L
